id,code,question,reference,prediction,metric,score
q1,def Make Suite From Dict d label None suite Suite label label suite Set Dict d suite Normalize return suite,What does the code make ?,a suite,Test Suite,accuracy,2
q1,def Make Suite From Dict d label None suite Suite label label suite Set Dict d suite Normalize return suite,What does the code make ?,a suite,Test Suite,completeness,1
q1,def Make Suite From Dict d label None suite Suite label label suite Set Dict d suite Normalize return suite,What does the code make ?,a suite,Test Suite,relevance,3
q1,def Make Suite From Dict d label None suite Suite label label suite Set Dict d suite Normalize return suite,What does the code make ?,a suite,Test Suite,clarity,2
q2,def Make Suite From Dict d label None suite Suite label label suite Set Dict d suite Normalize return suite,Does the code make a suite ?,Yes,Yes,accuracy,3
q2,def Make Suite From Dict d label None suite Suite label label suite Set Dict d suite Normalize return suite,Does the code make a suite ?,Yes,Yes,completeness,3
q2,def Make Suite From Dict d label None suite Suite label label suite Set Dict d suite Normalize return suite,Does the code make a suite ?,Yes,Yes,relevance,3
q2,def Make Suite From Dict d label None suite Suite label label suite Set Dict d suite Normalize return suite,Does the code make a suite ?,Yes,Yes,clarity,3
q3,def receive message topic name subscription name pubsub client pubsub Client topic pubsub client topic topic name subscription topic subscription subscription name results subscription pull return immediately True print ' Received{}messages ' format len results for ack id message in results print '*{} {} {}' format message message id message data message attributes if results subscription acknowledge [ack id for ack id message in results],Does the code receive a message from a pull subscription ?,Yes,"Yes, it receives messages from a pull subscription.",accuracy,3
q3,def receive message topic name subscription name pubsub client pubsub Client topic pubsub client topic topic name subscription topic subscription subscription name results subscription pull return immediately True print ' Received{}messages ' format len results for ack id message in results print '*{} {} {}' format message message id message data message attributes if results subscription acknowledge [ack id for ack id message in results],Does the code receive a message from a pull subscription ?,Yes,"Yes, it receives messages from a pull subscription.",completeness,2
q3,def receive message topic name subscription name pubsub client pubsub Client topic pubsub client topic topic name subscription topic subscription subscription name results subscription pull return immediately True print ' Received{}messages ' format len results for ack id message in results print '*{} {} {}' format message message id message data message attributes if results subscription acknowledge [ack id for ack id message in results],Does the code receive a message from a pull subscription ?,Yes,"Yes, it receives messages from a pull subscription.",relevance,3
q3,def receive message topic name subscription name pubsub client pubsub Client topic pubsub client topic topic name subscription topic subscription subscription name results subscription pull return immediately True print ' Received{}messages ' format len results for ack id message in results print '*{} {} {}' format message message id message data message attributes if results subscription acknowledge [ack id for ack id message in results],Does the code receive a message from a pull subscription ?,Yes,"Yes, it receives messages from a pull subscription.",clarity,3
